"distance m","value db"
3.7753,11.833
3.775619,11.822
3.775938,11.821
3.776257,11.813
3.776577,11.793
3.776896,11.793
3.777215,11.81
3.777534,11.819
3.777853,11.821
3.778172,11.787
3.778492,11.756
3.778811,11.75
3.77913,11.781
3.779449,11.808
3.779768,11.783
3.780087,11.733
3.780406,11.708
3.780726,11.711
3.781045,11.71
3.781364,11.668
3.781683,11.669
3.782002,11.66
3.782321,11.584
3.782641,11.516
3.78296,11.49
3.783279,11.486
3.783598,11.468
3.783917,11.41
3.784236,11.355
3.784556,11.33
3.784875,11.328
3.785194,11.299
3.785513,11.267
3.785832,11.262
3.786151,11.264
3.78647,11.289
3.78679,11.311
3.787109,11.291
3.787428,11.253
3.787747,11.199
3.788066,11.18
3.788385,11.172
3.788705,11.159
3.789024,11.154
3.789343,11.069
3.789662,10.991
3.789981,10.964
3.7903,10.965
3.790619,10.974
3.790939,10.976
3.791258,10.993
3.791577,10.978
3.791896,10.984
3.792215,11.005
3.792534,11.009
3.792854,11.05
3.793173,11.086
3.793492,11.052
3.793811,11.016
3.79413,10.99
3.794449,10.987
3.794769,10.985
3.795088,10.989
3.795407,10.997
3.795726,10.987
3.796045,10.977
3.796364,10.968
3.796683,10.925
3.797003,10.927
3.797322,10.955
3.797641,10.949
3.79796,10.884
3.798279,10.833
3.798598,10.824
3.798918,10.817
3.799237,10.806
3.799556,10.8
3.799875,10.726
3.800194,10.635
3.800513,10.602
3.800832,10.597
3.801152,10.598
3.801471,10.598
3.80179,10.609
3.802109,10.608
3.802428,10.61
3.802747,10.663
3.803067,10.721
3.803386,10.727
3.803705,10.714
3.804024,10.711
3.804343,10.682
3.804662,10.655
3.804982,10.675
3.805301,10.672
3.80562,10.636
3.805939,10.616
3.806258,10.612
3.806577,10.612
3.806896,10.612
3.807216,10.496
3.807535,10.386
3.807854,10.366
3.808173,10.365
3.808492,10.365
3.808811,10.365
3.809131,10.382
3.80945,10.399
3.809769,10.364
3.810088,10.369
3.810407,10.396
3.810726,10.364
3.811045,10.315
3.811365,10.294
3.811684,10.291
3.812003,10.248
3.812322,10.207
3.812641,10.117
3.81296,10.041
3.81328,9.965
3.813599,9.971
3.813918,10.015
3.814237,10.041
3.814556,10.041
3.814875,10.028
3.815195,9.905
3.815514,9.936
3.815833,10.039
3.816152,10.059
3.816471,10.06
3.81679,10.06
3.817109,9.955
3.817429,9.979
3.817748,10.077
3.818067,10.111
3.818386,10.121
3.818705,10.105
